,municipio,regiao
0,ABAIARA,CARIRI
32,CAMPOS SALES,CARIRI
170,TARRAFAS,CARIRI
37,CARIRIACU,CARIRI
159,SANTANA DO CARIRI,CARIRI
156,SALITRE,CARIRI
50,CRATO,CARIRI
56,FARIAS BRITO,CARIRI
145,POTENGI,CARIRI
144,PORTEIRAS,CARIRI
64,GRANJEIRO,CARIRI
137,PENAFORTE,CARIRI
121,NOVA OLINDA,CARIRI
182,VARZEA ALEGRE,CARIRI
113,MISSAO VELHA,CARIRI
95,JARDIM,CARIRI
96,JATI,CARIRI
98,JUAZEIRO DO NORTE,CARIRI
100,LAVRAS DA MANGABEIRA,CARIRI
110,MILAGRES,CARIRI
30,BREJO SANTO,CARIRI
24,BARRO,CARIRI
108,MAURITI,CARIRI
18,ASSARE,CARIRI
19,AURORA,CARIRI
22,BARBALHA,CARIRI
15,ARARIPE,CARIRI
9,ANTONINA DO NORTE,CARIRI
6,ALTANEIRA,CARIRI
177,UMARI,CENTRO SUL
3,ACOPIARA,CENTRO SUL
155,SABOEIRO,CENTRO SUL
44,CEDRO,CENTRO SUL
75,ICO,CENTRO SUL
149,QUIXELO,CENTRO SUL
41,CATARINA,CENTRO SUL
99,JUCAS,CENTRO SUL
38,CARIUS,CENTRO SUL
76,IGUATU,CENTRO SUL
125,OROS,CENTRO SUL
20,BAIXIO,CENTRO SUL
79,IPAUMIRIM,CENTRO SUL
66,GUAIUBA,GRANDE FORTALEZA
55,EUSEBIO,GRANDE FORTALEZA
58,FORTALEZA,GRANDE FORTALEZA
11,AQUIRAZ,GRANDE FORTALEZA
140,PINDORETAMA,GRANDE FORTALEZA
132,PARACURU,GRANDE FORTALEZA
70,HORIZONTE,GRANDE FORTALEZA
127,PACATUBA,GRANDE FORTALEZA
133,PARAIPABA,GRANDE FORTALEZA
126,PACAJUS,GRANDE FORTALEZA
85,ITAITINGA,GRANDE FORTALEZA
174,TRAIRI,GRANDE FORTALEZA
47,CHOROZINHO,GRANDE FORTALEZA
103,MARACANAU,GRANDE FORTALEZA
104,MARANGUAPE,GRANDE FORTALEZA
40,CASCAVEL,GRANDE FORTALEZA
161,SAO GONCALO DO AMARANTE,GRANDE FORTALEZA
43,CAUCAIA,GRANDE FORTALEZA
163,SAO LUIS DO CURU,GRANDE FORTALEZA
59,FORTIM,LITORAL LESTE
84,ITAICABA,LITORAL LESTE
74,ICAPUI,LITORAL LESTE
27,BEBERIBE,LITORAL LESTE
94,JAGUARUANA,LITORAL LESTE
12,ARACATI,LITORAL LESTE
180,URUOCA,LITORAL NORTE
97,JIJOCA DE JERICOACOARA,LITORAL NORTE
89,ITAREMA,LITORAL NORTE
118,MORRINHOS,LITORAL NORTE
63,GRANJA,LITORAL NORTE
25,BARROQUINHA,LITORAL NORTE
106,MARTINOPOLE,LITORAL NORTE
52,CRUZ,LITORAL NORTE
2,ACARAU,LITORAL NORTE
105,MARCO,LITORAL NORTE
45,CHAVAL,LITORAL NORTE
28,BELA CRUZ,LITORAL NORTE
31,CAMOCIM,LITORAL NORTE
175,TURURU,LITORAL OESTE / VALE DO CURU
87,ITAPIPOCA,LITORAL OESTE / VALE DO CURU
86,ITAPAJE,LITORAL OESTE / VALE DO CURU
179,URUBURETAMA,LITORAL OESTE / VALE DO CURU
8,AMONTADA,LITORAL OESTE / VALE DO CURU
10,APUIARES,LITORAL OESTE / VALE DO CURU
172,TEJUCUOCA,LITORAL OESTE / VALE DO CURU
112,MIRAIMA,LITORAL OESTE / VALE DO CURU
178,UMIRIM,LITORAL OESTE / VALE DO CURU
61,GENERAL SAMPAIO,LITORAL OESTE / VALE DO CURU
83,IRAUCUBA,LITORAL OESTE / VALE DO CURU
138,PENTECOSTE,LITORAL OESTE / VALE DO CURU
1,ACARAPE,MACICO DE BATURITE
23,BARREIRA,MACICO DE BATURITE
88,ITAPIUNA,MACICO DE BATURITE
124,OCARA,MACICO DE BATURITE
128,PACOTI,MACICO DE BATURITE
131,PALMACIA,MACICO DE BATURITE
68,GUARAMIRANGA,MACICO DE BATURITE
13,ARACOIABA,MACICO DE BATURITE
16,ARATUBA,MACICO DE BATURITE
34,CAPISTRANO,MACICO DE BATURITE
26,BATURITE,MACICO DE BATURITE
